#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abandonar]";"yo abandono"
"Indicativo
Presente

tú [abandonar]";"tú abandonas"
"Indicativo
Presente

él [abandonar]";"él abandona"
"Indicativo
Presente

ella [abandonar]";"ella abandona"
"Indicativo
Presente

Usted [abandonar]";"Usted abandona"
"Indicativo
Presente

nosotros [abandonar]";"nosotros abandonamos"
"Indicativo
Presente

nosotras [abandonar]";"nosotras abandonamos"
"Indicativo
Presente

vosotros [abandonar]";"vosotros abandonáis"
"Indicativo
Presente

vosotras [abandonar]";"vosotras abandonáis"
"Indicativo
Presente

ellos [abandonar]";"ellos abandonan"
"Indicativo
Presente

ellas [abandonar]";"ellas abandonan"
"Indicativo
Presente

Ustedes [abandonar]";"Ustedes abandonan"
"Indicativo
Presente

yo [abordar]";"yo abordo"
"Indicativo
Presente

tú [abordar]";"tú abordas"
"Indicativo
Presente

él [abordar]";"él aborda"
"Indicativo
Presente

ella [abordar]";"ella aborda"
"Indicativo
Presente

Usted [abordar]";"Usted aborda"
"Indicativo
Presente

nosotros [abordar]";"nosotros abordamos"
"Indicativo
Presente

nosotras [abordar]";"nosotras abordamos"
"Indicativo
Presente

vosotros [abordar]";"vosotros abordáis"
"Indicativo
Presente

vosotras [abordar]";"vosotras abordáis"
"Indicativo
Presente

ellos [abordar]";"ellos abordan"
"Indicativo
Presente

ellas [abordar]";"ellas abordan"
"Indicativo
Presente

Ustedes [abordar]";"Ustedes abordan"
"Indicativo
Presente

yo [abortar]";"yo aborto"
"Indicativo
Presente

tú [abortar]";"tú abortas"
"Indicativo
Presente

él [abortar]";"él aborta"
"Indicativo
Presente

ella [abortar]";"ella aborta"
"Indicativo
Presente

Usted [abortar]";"Usted aborta"
"Indicativo
Presente

nosotros [abortar]";"nosotros abortamos"
"Indicativo
Presente

nosotras [abortar]";"nosotras abortamos"
"Indicativo
Presente

vosotros [abortar]";"vosotros abortáis"
"Indicativo
Presente

vosotras [abortar]";"vosotras abortáis"
"Indicativo
Presente

ellos [abortar]";"ellos abortan"
"Indicativo
Presente

ellas [abortar]";"ellas abortan"
"Indicativo
Presente

Ustedes [abortar]";"Ustedes abortan"
"Indicativo
Presente

yo [abrazar]";"yo abrazo"
"Indicativo
Presente

tú [abrazar]";"tú abrazas"
"Indicativo
Presente

él [abrazar]";"él abraza"
"Indicativo
Presente

ella [abrazar]";"ella abraza"
"Indicativo
Presente

Usted [abrazar]";"Usted abraza"
"Indicativo
Presente

nosotros [abrazar]";"nosotros abrazamos"
"Indicativo
Presente

nosotras [abrazar]";"nosotras abrazamos"
"Indicativo
Presente

vosotros [abrazar]";"vosotros abrazáis"
"Indicativo
Presente

vosotras [abrazar]";"vosotras abrazáis"
"Indicativo
Presente

ellos [abrazar]";"ellos abrazan"
"Indicativo
Presente

ellas [abrazar]";"ellas abrazan"
"Indicativo
Presente

Ustedes [abrazar]";"Ustedes abrazan"
"Indicativo
Presente

yo [abusar]";"yo abuso"
"Indicativo
Presente

tú [abusar]";"tú abusas"
"Indicativo
Presente

él [abusar]";"él abusa"
"Indicativo
Presente

ella [abusar]";"ella abusa"
"Indicativo
Presente

Usted [abusar]";"Usted abusa"
"Indicativo
Presente

nosotros [abusar]";"nosotros abusamos"
"Indicativo
Presente

nosotras [abusar]";"nosotras abusamos"
"Indicativo
Presente

vosotros [abusar]";"vosotros abusáis"
"Indicativo
Presente

vosotras [abusar]";"vosotras abusáis"
"Indicativo
Presente

ellos [abusar]";"ellos abusan"
"Indicativo
Presente

ellas [abusar]";"ellas abusan"
"Indicativo
Presente

Ustedes [abusar]";"Ustedes abusan"
"Indicativo
Presente

yo [acabar]";"yo acabo"
"Indicativo
Presente

tú [acabar]";"tú acabas"
"Indicativo
Presente

él [acabar]";"él acaba"
"Indicativo
Presente

ella [acabar]";"ella acaba"
"Indicativo
Presente

Usted [acabar]";"Usted acaba"
"Indicativo
Presente

nosotros [acabar]";"nosotros acabamos"
"Indicativo
Presente

nosotras [acabar]";"nosotras acabamos"
"Indicativo
Presente

vosotros [acabar]";"vosotros acabáis"
"Indicativo
Presente

vosotras [acabar]";"vosotras acabáis"
"Indicativo
Presente

ellos [acabar]";"ellos acaban"
"Indicativo
Presente

ellas [acabar]";"ellas acaban"
"Indicativo
Presente

Ustedes [acabar]";"Ustedes acaban"
"Indicativo
Presente

yo [acampar]";"yo acampo"
"Indicativo
Presente

tú [acampar]";"tú acampas"
