#separator:Semicolon
#html:false
"Indicativo
Presente

yo [abrir]";"yo abro"
"Indicativo
Presente

tú [abrir]";"tú abres"
"Indicativo
Presente

él [abrir]";"él abre"
"Indicativo
Presente

ella [abrir]";"ella abre"
"Indicativo
Presente

Usted [abrir]";"Usted abre"
"Indicativo
Presente

nosotros [abrir]";"nosotros abrimos"
"Indicativo
Presente

nosotras [abrir]";"nosotras abrimos"
"Indicativo
Presente

vosotros [abrir]";"vosotros abrís"
"Indicativo
Presente

vosotras [abrir]";"vosotras abrís"
"Indicativo
Presente

ellos [abrir]";"ellos abren"
"Indicativo
Presente

ellas [abrir]";"ellas abren"
"Indicativo
Presente

Ustedes [abrir]";"Ustedes abren"
"Indicativo
Presente

yo [aburrir]";"yo aburro"
"Indicativo
Presente

tú [aburrir]";"tú aburres"
"Indicativo
Presente

él [aburrir]";"él aburre"
"Indicativo
Presente

ella [aburrir]";"ella aburre"
"Indicativo
Presente

Usted [aburrir]";"Usted aburre"
"Indicativo
Presente

nosotros [aburrir]";"nosotros aburrimos"
"Indicativo
Presente

nosotras [aburrir]";"nosotras aburrimos"
"Indicativo
Presente

vosotros [aburrir]";"vosotros aburrís"
"Indicativo
Presente

vosotras [aburrir]";"vosotras aburrís"
"Indicativo
Presente

ellos [aburrir]";"ellos aburren"
"Indicativo
Presente

ellas [aburrir]";"ellas aburren"
"Indicativo
Presente

Ustedes [aburrir]";"Ustedes aburren"
"Indicativo
Presente

yo [acontecer]";"yo acontezco"
"Indicativo
Presente

tú [acontecer]";"tú aconteces"
"Indicativo
Presente

él [acontecer]";"él acontece"
"Indicativo
Presente

ella [acontecer]";"ella acontece"
"Indicativo
Presente

Usted [acontecer]";"Usted acontece"
"Indicativo
Presente

nosotros [acontecer]";"nosotros acontecemos"
"Indicativo
Presente

nosotras [acontecer]";"nosotras acontecemos"
"Indicativo
Presente

vosotros [acontecer]";"vosotros acontecéis"
"Indicativo
Presente

vosotras [acontecer]";"vosotras acontecéis"
"Indicativo
Presente

ellos [acontecer]";"ellos acontecen"
"Indicativo
Presente

ellas [acontecer]";"ellas acontecen"
"Indicativo
Presente

Ustedes [acontecer]";"Ustedes acontecen"
"Indicativo
Presente

yo [admitir]";"yo admito"
"Indicativo
Presente

tú [admitir]";"tú admites"
"Indicativo
Presente

él [admitir]";"él admite"
"Indicativo
Presente

ella [admitir]";"ella admite"
"Indicativo
Presente

Usted [admitir]";"Usted admite"
"Indicativo
Presente

nosotros [admitir]";"nosotros admitimos"
"Indicativo
Presente

nosotras [admitir]";"nosotras admitimos"
"Indicativo
Presente

vosotros [admitir]";"vosotros admitís"
"Indicativo
Presente

vosotras [admitir]";"vosotras admitís"
"Indicativo
Presente

ellos [admitir]";"ellos admiten"
"Indicativo
Presente

ellas [admitir]";"ellas admiten"
"Indicativo
Presente

Ustedes [admitir]";"Ustedes admiten"
"Indicativo
Presente

yo [advertir]";"yo advierto"
"Indicativo
Presente

tú [advertir]";"tú adviertes"
"Indicativo
Presente

él [advertir]";"él advierte"
"Indicativo
Presente

ella [advertir]";"ella advierte"
"Indicativo
Presente

Usted [advertir]";"Usted advierte"
"Indicativo
Presente

nosotros [advertir]";"nosotros advertimos"
"Indicativo
Presente

nosotras [advertir]";"nosotras advertimos"
"Indicativo
Presente

vosotros [advertir]";"vosotros advertís"
"Indicativo
Presente

vosotras [advertir]";"vosotras advertís"
"Indicativo
Presente

ellos [advertir]";"ellos advierten"
