#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abandonar]";"yo abandoné"
"Indicativo
Pretérito

tú [abandonar]";"tú abandonaste"
"Indicativo
Pretérito

él [abandonar]";"él abandonó"
"Indicativo
Pretérito

ella [abandonar]";"ella abandonó"
"Indicativo
Pretérito

Usted [abandonar]";"Usted abandonó"
"Indicativo
Pretérito

nosotros [abandonar]";"nosotros abandonamos"
"Indicativo
Pretérito

nosotras [abandonar]";"nosotras abandonamos"
"Indicativo
Pretérito

vosotros [abandonar]";"vosotros abandonasteis"
"Indicativo
Pretérito

vosotras [abandonar]";"vosotras abandonasteis"
"Indicativo
Pretérito

ellos [abandonar]";"ellos abandonaron"
"Indicativo
Pretérito

ellas [abandonar]";"ellas abandonaron"
"Indicativo
Pretérito

Ustedes [abandonar]";"Ustedes abandonaron"
"Indicativo
Pretérito

yo [abordar]";"yo abordé"
"Indicativo
Pretérito

tú [abordar]";"tú abordaste"
"Indicativo
Pretérito

él [abordar]";"él abordó"
"Indicativo
Pretérito

ella [abordar]";"ella abordó"
"Indicativo
Pretérito

Usted [abordar]";"Usted abordó"
"Indicativo
Pretérito

nosotros [abordar]";"nosotros abordamos"
"Indicativo
Pretérito

nosotras [abordar]";"nosotras abordamos"
"Indicativo
Pretérito

vosotros [abordar]";"vosotros abordasteis"
"Indicativo
Pretérito

vosotras [abordar]";"vosotras abordasteis"
"Indicativo
Pretérito

ellos [abordar]";"ellos abordaron"
"Indicativo
Pretérito

ellas [abordar]";"ellas abordaron"
"Indicativo
Pretérito

Ustedes [abordar]";"Ustedes abordaron"
"Indicativo
Pretérito

yo [abortar]";"yo aborté"
"Indicativo
Pretérito

tú [abortar]";"tú abortaste"
"Indicativo
Pretérito

él [abortar]";"él abortó"
"Indicativo
Pretérito

ella [abortar]";"ella abortó"
"Indicativo
Pretérito

Usted [abortar]";"Usted abortó"
"Indicativo
Pretérito

nosotros [abortar]";"nosotros abortamos"
"Indicativo
Pretérito

nosotras [abortar]";"nosotras abortamos"
"Indicativo
Pretérito

vosotros [abortar]";"vosotros abortasteis"
