#separator:Semicolon
#html:false
"Indicativo
Pretérito

yo [abrir]";"yo abrí"
"Indicativo
Pretérito

tú [abrir]";"tú abriste"
"Indicativo
Pretérito

él [abrir]";"él abrió"
"Indicativo
Pretérito

ella [abrir]";"ella abrió"
"Indicativo
Pretérito

Usted [abrir]";"Usted abrió"
"Indicativo
Pretérito

nosotros [abrir]";"nosotros abrimos"
"Indicativo
Pretérito

nosotras [abrir]";"nosotras abrimos"
"Indicativo
Pretérito

vosotros [abrir]";"vosotros abristeis"
"Indicativo
Pretérito

vosotras [abrir]";"vosotras abristeis"
"Indicativo
Pretérito

ellos [abrir]";"ellos abrieron"
"Indicativo
Pretérito

ellas [abrir]";"ellas abrieron"
"Indicativo
Pretérito

Ustedes [abrir]";"Ustedes abrieron"
"Indicativo
Pretérito

yo [aburrir]";"yo aburrí"
"Indicativo
Pretérito

tú [aburrir]";"tú aburriste"
"Indicativo
Pretérito

él [aburrir]";"él aburrió"
"Indicativo
Pretérito

ella [aburrir]";"ella aburrió"
"Indicativo
Pretérito

Usted [aburrir]";"Usted aburrió"
"Indicativo
Pretérito

nosotros [aburrir]";"nosotros aburrimos"
"Indicativo
Pretérito

nosotras [aburrir]";"nosotras aburrimos"
"Indicativo
Pretérito

vosotros [aburrir]";"vosotros aburristeis"
"Indicativo
Pretérito

vosotras [aburrir]";"vosotras aburristeis"
"Indicativo
Pretérito

ellos [aburrir]";"ellos aburrieron"
"Indicativo
Pretérito

ellas [aburrir]";"ellas aburrieron"
"Indicativo
Pretérito

Ustedes [aburrir]";"Ustedes aburrieron"
"Indicativo
Pretérito

yo [acontecer]";"yo acontecí"
"Indicativo
Pretérito

tú [acontecer]";"tú aconteciste"
"Indicativo
Pretérito

él [acontecer]";"él aconteció"
"Indicativo
Pretérito

ella [acontecer]";"ella aconteció"
"Indicativo
Pretérito

Usted [acontecer]";"Usted aconteció"
"Indicativo
Pretérito

nosotros [acontecer]";"nosotros acontecimos"
"Indicativo
Pretérito

nosotras [acontecer]";"nosotras acontecimos"
"Indicativo
Pretérito

vosotros [acontecer]";"vosotros acontecisteis"
"Indicativo
Pretérito

vosotras [acontecer]";"vosotras acontecisteis"
"Indicativo
Pretérito

ellos [acontecer]";"ellos acontecieron"
"Indicativo
Pretérito

ellas [acontecer]";"ellas acontecieron"
"Indicativo
Pretérito

Ustedes [acontecer]";"Ustedes acontecieron"
"Indicativo
Pretérito

yo [admitir]";"yo admití"
"Indicativo
Pretérito

tú [admitir]";"tú admitiste"
"Indicativo
Pretérito

él [admitir]";"él admitió"
"Indicativo
Pretérito

ella [admitir]";"ella admitió"
"Indicativo
Pretérito

Usted [admitir]";"Usted admitió"
"Indicativo
Pretérito

nosotros [admitir]";"nosotros admitimos"
"Indicativo
Pretérito

nosotras [admitir]";"nosotras admitimos"
"Indicativo
Pretérito

vosotros [admitir]";"vosotros admitisteis"
"Indicativo
Pretérito

vosotras [admitir]";"vosotras admitisteis"
